epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.00032,1.47331,3.61821,1.7175,0,0,0,0,1.84515,3.67595,1.98642,0.00027,0.00027,0.00027
2,13.51,1.4468,3.25802,1.67609,0.04846,0.00667,0.02493,0.02123,1.87251,3.36759,2.11315,0.00053911,0.00053911,0.00053911
3,19.9984,1.51205,3.05825,1.754,0.18017,0.04302,0.09833,0.07811,2.03461,3.53174,2.36166,0.000797132,0.000797132,0.000797132
4,26.4104,1.4536,2.86743,1.71373,0.15344,0.20011,0.1213,0.06048,2.09538,4.13904,2.41974,0.0009406,0.0009406,0.0009406
5,32.7739,1.5107,2.90551,1.74274,0.20862,0.1232,0.14058,0.06434,2.19658,3.37761,2.42323,0.0009208,0.0009208,0.0009208
6,39.3086,1.53132,2.87191,1.70407,0.10917,0.14688,0.08813,0.03304,2.15426,6.40103,2.38506,0.000901,0.000901,0.000901
7,45.7873,1.45563,2.75449,1.72121,0.23416,0.09474,0.14591,0.08565,2.0998,3.7014,2.32067,0.0008812,0.0008812,0.0008812
8,52.1593,1.44018,2.74259,1.68705,0.21722,0.16418,0.16444,0.11231,2.1693,3.464,2.33734,0.0008614,0.0008614,0.0008614
9,58.5574,1.36208,2.6157,1.61465,0.19564,0.10135,0.13962,0.08396,2.16459,3.33662,2.38183,0.0008416,0.0008416,0.0008416
10,66.1421,1.3979,2.59873,1.64849,0.17662,0.10865,0.13381,0.0872,2.06122,3.23877,2.26055,0.0008218,0.0008218,0.0008218
11,72.5161,1.36488,2.57351,1.60288,0.33333,0.10063,0.20824,0.15542,2.23174,3.22414,2.42294,0.000802,0.000802,0.000802
12,78.7506,1.38094,2.54903,1.61383,0.44163,0.12361,0.26312,0.16761,2.0545,3.28129,2.22294,0.0007822,0.0007822,0.0007822
13,84.9194,1.34277,2.48823,1.60963,0.33617,0.10733,0.21204,0.14258,2.11633,3.20931,2.34649,0.0007624,0.0007624,0.0007624
14,91.2567,1.32151,2.38777,1.55911,0.30958,0.0987,0.19498,0.14419,2.01356,3.34941,2.2985,0.0007426,0.0007426,0.0007426
15,97.5745,1.26714,2.31313,1.54027,0.27492,0.10807,0.17928,0.12222,2.0249,3.4894,2.2962,0.0007228,0.0007228,0.0007228
16,103.929,1.27031,2.35129,1.55965,0.45729,0.07825,0.26738,0.16763,1.97791,3.23139,2.21979,0.000703,0.000703,0.000703
17,110.226,1.33221,2.35029,1.57094,0.36391,0.05971,0.2111,0.13057,2.01748,3.41423,2.23747,0.0006832,0.0006832,0.0006832
18,116.513,1.28045,2.2739,1.55294,0.30051,0.16087,0.20788,0.15412,2.16098,3.41411,2.36481,0.0006634,0.0006634,0.0006634
19,122.784,1.27289,2.25053,1.53355,0.47012,0.09942,0.28026,0.21809,2.15721,3.10325,2.29986,0.0006436,0.0006436,0.0006436
20,129.15,1.28541,2.25701,1.51486,0.39535,0.11441,0.23694,0.18233,1.99455,3.03532,2.18586,0.0006238,0.0006238,0.0006238
21,135.404,1.24607,2.18264,1.49722,0.31513,0.19333,0.2361,0.18026,2.06308,3.08503,2.21522,0.000604,0.000604,0.000604
22,141.592,1.22132,2.12378,1.46852,0.32714,0.12717,0.23004,0.16939,2.04765,3.00562,2.17957,0.0005842,0.0005842,0.0005842
23,147.917,1.2355,2.14612,1.4965,0.50943,0.13058,0.3131,0.25363,1.91676,3.00487,2.09678,0.0005644,0.0005644,0.0005644
24,154.181,1.19449,2.08771,1.48415,0.4869,0.15508,0.31707,0.24483,1.9482,3.163,2.09526,0.0005446,0.0005446,0.0005446
25,160.469,1.23566,2.09884,1.51034,0.41031,0.17497,0.25758,0.18059,2.16102,3.21236,2.39161,0.0005248,0.0005248,0.0005248
26,166.676,1.18348,1.98805,1.46743,0.43728,0.11672,0.28143,0.19672,1.98095,3.08104,2.16957,0.000505,0.000505,0.000505
27,172.938,1.17656,1.97311,1.46856,0.55159,0.11796,0.33609,0.25902,1.91367,3.00054,2.10626,0.0004852,0.0004852,0.0004852
28,179.223,1.15357,1.90552,1.45154,0.53118,0.18143,0.34273,0.26039,2.01584,3.05241,2.18947,0.0004654,0.0004654,0.0004654
29,185.486,1.17168,1.89453,1.47374,0.40418,0.14712,0.28212,0.20164,1.89273,3.00518,2.08278,0.0004456,0.0004456,0.0004456
30,191.873,1.14361,1.87754,1.4419,0.37598,0.10484,0.241,0.16541,1.8635,2.99829,2.03326,0.0004258,0.0004258,0.0004258
31,198.245,1.19345,1.86415,1.43207,0.36293,0.16286,0.27026,0.19937,1.90321,3.09946,2.07724,0.000406,0.000406,0.000406
32,204.47,1.12168,1.82609,1.43101,0.37804,0.19013,0.27952,0.21053,1.96283,2.98238,2.0797,0.0003862,0.0003862,0.0003862
33,210.786,1.08302,1.74261,1.38901,0.40403,0.17497,0.29715,0.21496,1.91374,2.90289,2.07062,0.0003664,0.0003664,0.0003664
34,217.001,1.16149,1.82739,1.46683,0.56881,0.21661,0.36336,0.27671,1.91082,2.97348,2.10474,0.0003466,0.0003466,0.0003466
35,223.299,1.16445,1.80643,1.43765,0.4601,0.19706,0.26948,0.20345,1.92187,3.15985,2.11954,0.0003268,0.0003268,0.0003268
36,229.524,1.07636,1.68807,1.39712,0.43601,0.17228,0.27304,0.21341,1.90457,3.09186,2.0738,0.000307,0.000307,0.000307
37,235.736,1.08418,1.68715,1.39637,0.37502,0.13063,0.24974,0.19518,1.89821,3.05058,2.08913,0.0002872,0.0002872,0.0002872
38,242.05,1.0591,1.56776,1.39799,0.39915,0.14984,0.26325,0.19668,1.94694,3.11982,2.10329,0.0002674,0.0002674,0.0002674
39,248.482,1.08204,1.68203,1.39323,0.35203,0.17032,0.25542,0.19466,1.95266,3.09434,2.0914,0.0002476,0.0002476,0.0002476
40,254.776,1.0249,1.56025,1.36442,0.35611,0.15913,0.24756,0.18958,1.92921,2.97056,2.14255,0.0002278,0.0002278,0.0002278
41,268.042,1.01319,1.84204,1.43455,0.34924,0.18548,0.24284,0.1756,1.94592,3.17718,2.12226,0.000208,0.000208,0.000208
42,274.41,0.99933,1.75256,1.40362,0.34997,0.15844,0.24338,0.17901,1.90317,3.12114,2.09969,0.0001882,0.0001882,0.0001882
