epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,599.608,1.63826,3.96141,1.77489,0.2811,0.10288,0.19076,0.13725,1.28132,2.64013,1.48494,0.00333239,0.00333239,0.00333239
2,1168.46,1.3562,3.09125,1.53256,0.52234,0.18573,0.3492,0.25772,1.17137,2.32268,1.43096,0.00653374,0.00653374,0.00653374
3,1730.06,1.35253,2.78923,1.52272,0.6657,0.23971,0.44885,0.35056,1.13725,2.12835,1.37126,0.00960309,0.00960309,0.00960309
4,2288,1.33481,2.54137,1.51463,0.73464,0.29801,0.51977,0.41877,1.02165,1.8456,1.29024,0.009406,0.009406,0.009406
5,2847.34,1.25786,2.24546,1.4544,0.7797,0.37331,0.58198,0.47638,0.97513,1.61107,1.24373,0.009208,0.009208,0.009208
6,3408.42,1.20426,2.05458,1.41732,0.77875,0.45978,0.62437,0.52013,0.91219,1.38201,1.20047,0.00901,0.00901,0.00901
7,3968.37,1.15672,1.91006,1.37946,0.75989,0.53517,0.65793,0.54572,0.89198,1.26347,1.1824,0.008812,0.008812,0.008812
8,4528.3,1.12587,1.78656,1.3556,0.77642,0.53402,0.65938,0.55766,0.85564,1.21074,1.14913,0.008614,0.008614,0.008614
9,5089.57,1.09587,1.70353,1.33867,0.76498,0.57753,0.6815,0.57983,0.82815,1.1218,1.12641,0.008416,0.008416,0.008416
10,5650.1,1.08317,1.64931,1.32774,0.76867,0.57881,0.68629,0.58866,0.79964,1.07414,1.10478,0.008218,0.008218,0.008218
11,6211.32,1.05881,1.59634,1.31117,0.77579,0.60263,0.70246,0.60445,0.77542,1.03012,1.0903,0.00802,0.00802,0.00802
12,6772.63,1.04199,1.53699,1.29852,0.78673,0.6073,0.71072,0.61602,0.75938,0.99414,1.07575,0.007822,0.007822,0.007822
13,7335.94,1.02559,1.49836,1.28439,0.76793,0.62994,0.7139,0.6181,0.74399,0.96809,1.06116,0.007624,0.007624,0.007624
14,7896.12,1.01364,1.46622,1.27634,0.78174,0.6308,0.72143,0.62693,0.73795,0.94492,1.05715,0.007426,0.007426,0.007426
15,8459.13,1.00058,1.43509,1.26721,0.77927,0.63264,0.72246,0.6303,0.72886,0.93007,1.05188,0.007228,0.007228,0.007228
16,9021.15,0.98817,1.4018,1.26049,0.76873,0.64856,0.72837,0.63901,0.71924,0.91068,1.0458,0.00703,0.00703,0.00703
17,9580.92,0.98068,1.38242,1.25347,0.7694,0.65906,0.7353,0.64271,0.709,0.89576,1.03868,0.006832,0.006832,0.006832
18,10144.2,0.96896,1.34535,1.24547,0.77804,0.65146,0.73489,0.64602,0.7017,0.88195,1.03305,0.006634,0.006634,0.006634
19,10705.7,0.95743,1.32951,1.23902,0.77859,0.6574,0.73836,0.65108,0.68638,0.86987,1.02294,0.006436,0.006436,0.006436
20,11267.3,0.95056,1.30913,1.23242,0.78412,0.66136,0.74091,0.65608,0.67846,0.86267,1.01755,0.006238,0.006238,0.006238
21,11830,0.93735,1.29014,1.22305,0.78475,0.66724,0.74487,0.66,0.67159,0.85004,1.01403,0.00604,0.00604,0.00604
22,12391.4,0.9317,1.27032,1.21923,0.77661,0.67087,0.74371,0.65724,0.66986,0.84614,1.0129,0.005842,0.005842,0.005842
23,12947.9,0.9208,1.25081,1.21361,0.77748,0.66777,0.74472,0.66007,0.66436,0.83773,1.00993,0.005644,0.005644,0.005644
24,13510.2,0.91526,1.24065,1.20774,0.78056,0.66731,0.74554,0.66183,0.6605,0.83177,1.00623,0.005446,0.005446,0.005446
25,14070.4,0.90531,1.21966,1.20099,0.78105,0.67134,0.74891,0.66572,0.65695,0.82104,1.00351,0.005248,0.005248,0.005248
26,14632.8,0.90142,1.21066,1.20045,0.78469,0.66905,0.74843,0.66657,0.65078,0.81507,0.99968,0.00505,0.00505,0.00505
27,15194.7,0.89,1.18791,1.19118,0.78323,0.67056,0.74887,0.66673,0.64741,0.8103,0.997,0.004852,0.004852,0.004852
28,15755.9,0.88593,1.18118,1.18923,0.78538,0.67106,0.74979,0.66818,0.64421,0.80473,0.99487,0.004654,0.004654,0.004654
29,16318.8,0.87993,1.17098,1.18641,0.78552,0.67524,0.75208,0.67005,0.64299,0.80058,0.99413,0.004456,0.004456,0.004456
30,16882,0.87132,1.14643,1.17799,0.78574,0.67796,0.7537,0.67254,0.63952,0.79719,0.99138,0.004258,0.004258,0.004258
31,17445.6,0.8633,1.13705,1.173,0.78718,0.67882,0.75477,0.67439,0.63632,0.7943,0.98842,0.00406,0.00406,0.00406
32,18008.9,0.85965,1.13569,1.17372,0.78674,0.67785,0.75452,0.67475,0.63468,0.79156,0.98725,0.003862,0.003862,0.003862
33,18571.7,0.85326,1.12278,1.16874,0.78656,0.67776,0.75511,0.6758,0.63349,0.7883,0.98641,0.003664,0.003664,0.003664
34,19133.9,0.84639,1.11345,1.16468,0.7868,0.67683,0.75493,0.67615,0.63205,0.78628,0.98535,0.003466,0.003466,0.003466
35,19696.3,0.84119,1.1026,1.16167,0.78844,0.67738,0.75583,0.677,0.63014,0.7844,0.98428,0.003268,0.003268,0.003268
36,20258.1,0.83078,1.08279,1.15485,0.78869,0.67755,0.75608,0.67756,0.6291,0.78203,0.98363,0.00307,0.00307,0.00307
37,20820.3,0.82758,1.0794,1.15362,0.78886,0.67763,0.75649,0.67809,0.62814,0.78011,0.98337,0.002872,0.002872,0.002872
38,21383.3,0.81967,1.06477,1.14727,0.78904,0.67764,0.75691,0.67894,0.62691,0.77827,0.98219,0.002674,0.002674,0.002674
39,21946.8,0.81213,1.05091,1.14368,0.79076,0.67907,0.7581,0.68006,0.62567,0.77592,0.98138,0.002476,0.002476,0.002476
40,22508.8,0.80877,1.04329,1.13969,0.79113,0.67942,0.7588,0.68075,0.62464,0.7738,0.98068,0.002278,0.002278,0.002278
41,23084.7,0.66671,0.824,1.07566,0.79204,0.67898,0.75895,0.68096,0.62281,0.77125,0.97947,0.00208,0.00208,0.00208
42,23642.2,0.65144,0.80174,1.06851,0.79547,0.67859,0.75989,0.68248,0.62067,0.76891,0.97814,0.001882,0.001882,0.001882
43,24199.3,0.63937,0.78534,1.05708,0.79737,0.6788,0.76061,0.68343,0.61864,0.76673,0.97681,0.001684,0.001684,0.001684
