image_filename,class,x_min,y_min,x_max,y_max
Armas de Fuego_0000.jpg,Armas de Fuego,13,13,995,666
Armas de Fuego_0001.jpg,Armas de Fuego,0,262,82,352
Armas de Fuego_0001.jpg,Armas de Fuego,366,320,479,349
Armas de Fuego_0001.jpg,Armas de Fuego,0,0,512,319
Armas de Fuego_0002.png,Armas de Fuego,0,634,1200,799
Armas de Fuego_0002.png,Armas de Fuego,867,483,1030,702
Armas de Fuego_0002.png,Armas de Fuego,318,465,526,657
Armas de Fuego_0002.png,Armas de Fuego,607,555,653,621
Armas de Fuego_0002.png,Armas de Fuego,664,558,751,594
Armas de Fuego_0002.png,Armas de Fuego,270,520,319,580
Armas de Fuego_0002.png,Armas de Fuego,0,487,61,545
Armas de Fuego_0002.png,Armas de Fuego,0,0,1200,544
Armas de Fuego_0003.jpg,Armas de Fuego,348,163,610,540
Armas de Fuego_0003.jpg,Armas de Fuego,340,0,959,540
Armas de Fuego_0003.jpg,Armas de Fuego,31,16,369,523
Armas de Fuego_0004.jpeg,Armas de Fuego,0,0,474,262
Armas de Fuego_0005.jpg,Armas de Fuego,111,503,150,535
Armas de Fuego_0005.jpg,Armas de Fuego,562,513,608,535
Armas de Fuego_0005.jpg,Armas de Fuego,803,462,1024,535
Armas de Fuego_0005.jpg,Armas de Fuego,499,488,611,534
Armas de Fuego_0005.jpg,Armas de Fuego,661,513,712,534
Armas de Fuego_0005.jpg,Armas de Fuego,0,510,44,531
Armas de Fuego_0005.jpg,Armas de Fuego,678,384,779,464
Armas de Fuego_0005.jpg,Armas de Fuego,383,403,408,428
Armas de Fuego_0005.jpg,Armas de Fuego,133,332,158,365
Armas de Fuego_0005.jpg,Armas de Fuego,44,0,269,340
Armas de Fuego_0005.jpg,Armas de Fuego,866,81,950,136
Armas de Fuego_0005.jpg,Armas de Fuego,0,63,55,121
Armas de Fuego_0005.jpg,Armas de Fuego,244,17,333,64
Armas de Fuego_0005.jpg,Armas de Fuego,635,0,697,36
Armas de Fuego_0006.jpeg,Armas de Fuego,689,374,734,400
Armas de Fuego_0006.jpeg,Armas de Fuego,119,29,523,400
