epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56017,1.48401,2.97423,1.61496,0.00683,0.72881,0.10542,0.05402,1.08034,2.97351,1.38057,0.0001,0.0001,0.0001
2,7.19676,1.13282,2.72945,1.49462,0.00651,0.69492,0.13154,0.07625,1.0441,2.95511,1.35167,0.000217822,0.000217822,0.000217822
3,9.19422,1.24239,2.56579,1.50502,0.00667,0.71186,0.26778,0.17214,1.0927,3.04269,1.45941,0.000333268,0.000333268,0.000333268
4,11.0249,1.06477,2.30607,1.36225,0.00635,0.67797,0.24291,0.19063,1.15521,2.98791,1.56505,0.000446338,0.000446338,0.000446338
5,12.8012,1.11607,2.18727,1.4213,0.00635,0.67797,0.21903,0.17785,1.15589,3.01047,1.48877,0.000557032,0.000557032,0.000557032
6,14.5726,1.16797,1.8689,1.35195,0.00651,0.69492,0.17075,0.12115,1.28446,3.04075,1.52126,0.00066535,0.00066535,0.00066535
7,16.4617,0.87426,1.62273,1.269,0.00683,0.72881,0.2039,0.14001,1.12895,2.93247,1.37811,0.000771292,0.000771292,0.000771292
8,18.2692,1.05702,2.04009,1.38488,0.00683,0.72881,0.2039,0.14001,1.12895,2.93247,1.37811,0.000874858,0.000874858,0.000874858
9,20.1393,1.18367,2.35836,1.54733,0.62535,0.0297,0.24358,0.14543,1.2453,2.9556,1.53353,0.000976048,0.000976048,0.000976048
10,22.1486,1.16024,1.80452,1.46053,0.62873,0.25424,0.25073,0.20121,1.20754,2.57695,1.69537,0.00107486,0.00107486,0.00107486
11,23.8895,1.14291,1.90741,1.46203,0.62873,0.25424,0.25073,0.20121,1.20754,2.57695,1.69537,0.0011713,0.0011713,0.0011713
12,25.703,1.14434,2.03162,1.34939,0.72968,0.27119,0.30755,0.253,1.1207,2.48998,1.41641,0.00126536,0.00126536,0.00126536
13,27.414,0.88995,1.66981,1.22617,0.72968,0.27119,0.30755,0.253,1.1207,2.48998,1.41641,0.00135705,0.00135705,0.00135705
14,29.1162,1.17156,1.82694,1.47084,0.72968,0.27119,0.30755,0.253,1.1207,2.48998,1.41641,0.00144636,0.00144636,0.00144636
15,30.8965,1.17138,1.82185,1.33702,0.302,0.23729,0.16179,0.12881,1.18958,2.91937,1.42658,0.00153329,0.00153329,0.00153329
16,32.614,1.07706,1.78579,1.37659,0.302,0.23729,0.16179,0.12881,1.18958,2.91937,1.42658,0.00161785,0.00161785,0.00161785
17,34.3968,1.12466,1.7153,1.39122,0.33611,0.25424,0.24501,0.1174,1.77621,3.89502,1.98924,0.0016832,0.0016832,0.0016832
