image_filename,class,x_min,y_min,x_max,y_max
Armas de Fuego_0000.jpg,Armas de Fuego,637,253,859,685
Armas de Fuego_0000.jpg,Armas de Fuego,348,67,522,415
Armas de Fuego_0000.jpg,Armas de Fuego,535,182,619,351
Armas de Fuego_0000.jpg,Armas de Fuego,851,45,948,239
Armas de Fuego_0002.png,Armas de Fuego,616,521,754,798
Armas de Fuego_0002.png,Armas de Fuego,885,457,1027,742
Armas de Fuego_0002.png,Armas de Fuego,165,342,291,594
Armas de Fuego_0002.png,Armas de Fuego,1050,349,1162,573
Armas de Fuego_0002.png,Armas de Fuego,488,0,640,300
Armas de Fuego_0002.png,Armas de Fuego,401,97,513,265
Armas de Fuego_0002.png,Armas de Fuego,261,2,340,67
Armas de Fuego_0003.jpg,Armas de Fuego,257,337,361,540
Armas de Fuego_0003.jpg,Armas de Fuego,24,201,167,486
Armas de Fuego_0003.jpg,Armas de Fuego,501,37,626,286
Armas de Fuego_0003.jpg,Armas de Fuego,354,144,421,279
Armas de Fuego_0003.jpg,Armas de Fuego,895,48,960,189
Armas de Fuego_0003.jpg,Armas de Fuego,156,2,247,184
Armas de Fuego_0003.jpg,Armas de Fuego,343,10,411,145
Armas de Fuego_0005.jpg,Armas de Fuego,71,15,165,204
Armas de Fuego_0006.jpeg,Armas de Fuego,91,76,234,193
Armas de Fuego_0006.jpeg,Armas de Fuego,324,44,390,176
Armas de Fuego_0007.jpeg,Armas de Fuego,156,210,239,376
Armas de Fuego_0007.jpeg,Armas de Fuego,223,118,331,280
Armas de Fuego_0007.jpeg,Armas de Fuego,10,98,93,264
Armas de Fuego_0008.jpg,Armas de Fuego,801,425,898,619
Armas de Fuego_0011.jpg,Armas de Fuego,71,22,139,157
Armas de Fuego_0014.jpg,Armas de Fuego,116,48,183,196
Armas de Fuego_0019.jpg,Armas de Fuego,463,0,607,279
Armas de Fuego_0025.jpg,Armas de Fuego,18,22,119,105
Armas de Fuego_0027.jpg,Armas de Fuego,46,0,127,156
Armas de Fuego_0028.jpg,Armas de Fuego,182,0,259,153
Armas de Fuego_0029.jpg,Armas de Fuego,237,0,300,132
Armas de Fuego_0030.jpg,Armas de Fuego,87,23,155,159
Armas de Fuego_0032.jpg,Armas de Fuego,152,56,225,212
Armas de Fuego_0032.jpg,Armas de Fuego,89,58,159,197
Armas de Fuego_0035.jpg,Armas de Fuego,186,66,251,194
Armas de Fuego_0035.jpg,Armas de Fuego,81,37,161,194
