image_filename,class,x_min,y_min,x_max,y_max
Abuse001_x264_frames_0028.jpg,Abuse,59,35,113,144
Abuse001_x264_frames_0034.jpg,Abuse,60,37,113,143
Abuse001_x264_frames_0035.jpg,Abuse,60,38,112,142
Abuse001_x264_frames_0037.jpg,Abuse,60,39,113,145
Abuse001_x264_frames_0041.jpg,Abuse,60,39,113,145
Abuse001_x264_frames_0042.jpg,Abuse,60,37,113,143
Abuse001_x264_frames_0043.jpg,Abuse,60,35,113,141
Abuse001_x264_frames_0058.jpg,Abuse,60,35,113,141
Abuse001_x264_frames_0065.jpg,Abuse,60,35,113,141
Abuse001_x264_frames_0069.jpg,Abuse,59,35,113,144
Abuse001_x264_frames_0072.jpg,Abuse,58,35,114,147
Abuse001_x264_frames_0073.jpg,Abuse,58,35,114,147
Abuse001_x264_frames_0074.jpg,Abuse,60,35,113,141
Abuse001_x264_frames_0075.jpg,Abuse,60,36,113,142
Abuse002_x264_frames_0030.jpg,Abuse,154,66,244,240
Abuse002_x264_frames_0054.jpg,Abuse,92,56,199,144
Abuse002_x264_frames_0055.jpg,Abuse,28,0,304,240
Abuse002_x264_frames_0075.jpg,Abuse,182,88,261,240
Abuse003_x264_frames_0000.jpg,Abuse,167,9,244,163
Abuse003_x264_frames_0001.jpg,Abuse,167,8,245,164
Abuse003_x264_frames_0002.jpg,Abuse,167,8,245,164
Abuse003_x264_frames_0003.jpg,Abuse,167,9,244,163
Abuse003_x264_frames_0004.jpg,Abuse,167,8,245,165
Abuse003_x264_frames_0005.jpg,Abuse,167,9,243,160
Abuse003_x264_frames_0006.jpg,Abuse,26,24,139,240
Abuse003_x264_frames_0006.jpg,Abuse,167,9,246,167
Abuse003_x264_frames_0009.jpg,Abuse,30,20,144,240
Abuse003_x264_frames_0010.jpg,Abuse,171,13,241,153
Abuse003_x264_frames_0011.jpg,Abuse,168,10,243,160
Abuse003_x264_frames_0012.jpg,Abuse,168,9,243,159
Abuse003_x264_frames_0013.jpg,Abuse,169,10,243,158
Abuse003_x264_frames_0014.jpg,Abuse,168,10,242,158
Abuse003_x264_frames_0015.jpg,Abuse,28,24,141,240
Abuse003_x264_frames_0015.jpg,Abuse,167,9,243,161
Abuse003_x264_frames_0016.jpg,Abuse,168,9,243,159
Abuse003_x264_frames_0017.jpg,Abuse,162,7,244,170
Abuse003_x264_frames_0018.jpg,Abuse,168,11,240,155
Abuse003_x264_frames_0019.jpg,Abuse,168,10,241,157
Abuse003_x264_frames_0020.jpg,Abuse,169,11,245,162
Abuse003_x264_frames_0021.jpg,Abuse,32,24,142,240
Abuse003_x264_frames_0022.jpg,Abuse,168,10,242,159
Abuse003_x264_frames_0023.jpg,Abuse,43,22,158,240
Abuse003_x264_frames_0023.jpg,Abuse,171,12,242,153
Abuse003_x264_frames_0024.jpg,Abuse,32,22,147,240
Abuse003_x264_frames_0024.jpg,Abuse,172,11,243,152
Abuse003_x264_frames_0025.jpg,Abuse,168,8,247,165
Abuse003_x264_frames_0026.jpg,Abuse,173,12,243,151
Abuse003_x264_frames_0028.jpg,Abuse,173,12,243,151
Abuse003_x264_frames_0030.jpg,Abuse,174,13,241,147
Abuse003_x264_frames_0031.jpg,Abuse,173,13,240,147
Abuse003_x264_frames_0032.jpg,Abuse,169,10,243,158
Abuse003_x264_frames_0033.jpg,Abuse,164,7,244,168
Abuse003_x264_frames_0034.jpg,Abuse,165,7,245,167
