epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.044,1.39989,3.57999,1.69803,0.71471,0.0651,0.05359,0.03368,1.91279,3.84453,2.0667,0.000329317,0.000329317,0.000329317
2,221.01,1.43903,3.1928,1.75666,0.33519,0.15952,0.07585,0.04843,2.04593,4.09944,2.21138,0.00064953,0.00064953,0.00064953
3,338.722,1.59686,3.134,1.81468,0.09886,0.23246,0.07339,0.03633,2.12322,4.08796,2.35545,0.000956543,0.000956543,0.000956543
4,460.743,1.46831,3.01886,1.71984,0.58469,0.10871,0.1362,0.08137,1.93866,3.74885,2.20056,0.0009406,0.0009406,0.0009406
5,580.517,1.52516,2.97519,1.75641,0.17206,0.23971,0.09192,0.04936,2.13675,3.72962,2.37572,0.0009208,0.0009208,0.0009208
6,704.206,1.47507,2.88593,1.72747,0.11162,0.18109,0.09116,0.05845,1.9586,3.96832,2.1644,0.000901,0.000901,0.000901
7,827.466,1.45325,2.86929,1.73807,0.21961,0.17418,0.11067,0.06124,2.0055,3.57313,2.2595,0.0008812,0.0008812,0.0008812
8,948.972,1.45511,2.83197,1.71285,0.35394,0.13897,0.0956,0.05241,1.9089,3.44173,2.18687,0.0008614,0.0008614,0.0008614
9,1074.98,1.47346,2.83151,1.71483,0.19616,0.21069,0.11685,0.06946,1.78484,3.41591,2.02655,0.0008416,0.0008416,0.0008416
10,1200,1.37178,2.73081,1.65627,0.17532,0.29143,0.13076,0.07776,1.85667,3.37915,2.12335,0.0008218,0.0008218,0.0008218
11,1326.54,1.41142,2.73614,1.67234,0.20364,0.21129,0.12636,0.07433,1.95312,3.49034,2.20641,0.000802,0.000802,0.000802
12,1449.19,1.37745,2.58598,1.65767,0.18973,0.1868,0.1324,0.07483,1.96682,3.4795,2.25047,0.0007822,0.0007822,0.0007822
13,1564.55,1.38142,2.65929,1.66437,0.28808,0.17222,0.16178,0.08293,1.92476,3.27899,2.14899,0.0007624,0.0007624,0.0007624
14,1716.61,1.34221,2.56831,1.62434,0.4949,0.18824,0.17073,0.10509,1.79442,3.18835,2.07116,0.0007426,0.0007426,0.0007426
15,2043.35,1.33154,2.53843,1.62605,0.37476,0.21516,0.22726,0.12328,1.86563,3.20109,2.08533,0.0007228,0.0007228,0.0007228
16,2314.95,1.32995,2.53949,1.63388,0.26075,0.23243,0.21312,0.1314,1.96642,3.27098,2.2021,0.000703,0.000703,0.000703
17,2606.77,1.38034,2.58362,1.66011,0.2572,0.27719,0.14902,0.09333,1.95817,3.3195,2.20674,0.0006832,0.0006832,0.0006832
18,2899.07,1.31963,2.47471,1.62452,0.17197,0.17442,0.12916,0.0754,1.89306,3.38419,2.09713,0.0006634,0.0006634,0.0006634
19,3195.85,1.31742,2.45586,1.61557,0.28039,0.22184,0.15847,0.10393,1.83426,3.23793,2.07134,0.0006436,0.0006436,0.0006436
20,3508.22,1.34342,2.43885,1.66666,0.38509,0.20915,0.17025,0.1209,1.86276,3.25421,2.10384,0.0006238,0.0006238,0.0006238
21,3781.66,1.29588,2.43626,1.59907,0.30023,0.19848,0.18416,0.1349,1.82815,3.3491,2.06082,0.000604,0.000604,0.000604
22,4023.83,1.30526,2.34233,1.6053,0.34813,0.18413,0.16138,0.10541,1.77036,3.52892,2.05352,0.0005842,0.0005842,0.0005842
23,4340.21,1.25544,2.36447,1.55971,0.24403,0.1782,0.14959,0.10085,1.81948,3.32025,2.06924,0.0005644,0.0005644,0.0005644
24,4594.72,1.3084,2.35558,1.58937,0.35112,0.19712,0.17167,0.11569,1.79421,3.14895,2.07214,0.0005446,0.0005446,0.0005446
25,4831.39,1.26388,2.3305,1.57694,0.252,0.26354,0.16181,0.11395,1.86383,3.20384,2.13725,0.0005248,0.0005248,0.0005248
26,5098.19,1.21512,2.19649,1.57656,0.22419,0.28498,0.15478,0.11168,1.82926,3.22956,2.05044,0.000505,0.000505,0.000505
27,5356.92,1.2607,2.28217,1.56761,0.26435,0.22587,0.15361,0.11597,1.76756,3.18372,1.99908,0.0004852,0.0004852,0.0004852
28,5593.2,1.16335,2.13868,1.49452,0.27216,0.23508,0.1505,0.10566,1.82439,3.28991,2.04701,0.0004654,0.0004654,0.0004654
29,5875.41,1.19945,2.16591,1.53222,0.1732,0.25839,0.14401,0.10203,1.87978,3.85255,2.12345,0.0004456,0.0004456,0.0004456
30,6202.03,1.21749,2.18509,1.52961,0.32814,0.22452,0.16566,0.11124,1.77561,3.09191,2.00488,0.0004258,0.0004258,0.0004258
31,6526.63,1.22918,2.19132,1.54541,0.28278,0.26377,0.18439,0.13027,1.74109,3.13811,2.00091,0.000406,0.000406,0.000406
