epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2962.24,1.66806,3.2533,1.67612,0.34637,0.16033,0.10136,0.06094,1.56688,3.03689,1.64126,0.0700106,0.00333215,0.00333215
2,5468.85,1.45895,2.86762,1.56224,0.40169,0.20377,0.17319,0.11716,1.28444,2.51649,1.40037,0.0394607,0.00611558,0.00611558
3,7958.71,1.33837,2.62344,1.47823,0.27296,0.27698,0.22813,0.15773,1.18412,2.26695,1.3248,0.00836084,0.00834901,0.00834901
4,10445.2,1.26095,2.42831,1.42374,0.42389,0.30999,0.28589,0.19989,1.22769,2.1279,1.34255,0.007525,0.007525,0.007525
5,12944.6,1.2064,2.2654,1.38296,0.46881,0.36204,0.36781,0.26811,1.0746,1.91025,1.23697,0.0067,0.0067,0.0067
6,15430.7,1.1635,2.11912,1.35256,0.56685,0.39709,0.43106,0.31675,1.08018,1.72644,1.23325,0.005875,0.005875,0.005875
7,17918.4,1.12286,1.97282,1.32513,0.61256,0.4279,0.46859,0.33719,1.11963,1.65632,1.25676,0.00505,0.00505,0.00505
8,20403.3,1.08973,1.85304,1.30391,0.64567,0.4765,0.52543,0.3928,1.00196,1.48015,1.18502,0.004225,0.004225,0.004225
9,22887.2,1.05707,1.73522,1.27927,0.65751,0.52531,0.56429,0.42488,0.98696,1.38825,1.16576,0.0034,0.0034,0.0034
10,25366.9,0.87822,1.34274,1.1634,0.68623,0.55403,0.60228,0.44717,1.02825,1.29625,1.18337,0.002575,0.002575,0.002575
11,27845.4,0.84403,1.23087,1.14074,0.68988,0.57595,0.61961,0.46628,0.996,1.24178,1.16117,0.00175,0.00175,0.00175
12,30328.5,0.81577,1.15001,1.12255,0.70267,0.58229,0.63145,0.47144,1.01978,1.20597,1.17112,0.000925,0.000925,0.000925
