epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.469,1.65773,2.05322,1.36174,0.25353,0.1614,0.13136,0.06869,1.8211,1.92498,1.26038,0.00066486,0.00066486,0.00066486
2,198.332,1.6446,1.74909,1.28939,0.25761,0.15833,0.12669,0.06631,1.83747,1.99149,1.31299,0.00130516,0.00130516,0.00130516
3,282.529,1.60521,1.6747,1.27541,0.30883,0.23344,0.19678,0.09894,1.73385,1.78854,1.21674,0.00191906,0.00191906,0.00191906
4,363.427,1.55359,1.61334,1.25248,0.33975,0.18658,0.17296,0.09608,1.72442,1.77162,1.23107,0.0018812,0.0018812,0.0018812
5,444.583,1.51886,1.51956,1.22102,0.36231,0.22628,0.21029,0.11937,1.63055,1.53804,1.17114,0.0018416,0.0018416,0.0018416
6,527.533,1.48869,1.47888,1.21932,0.35907,0.2349,0.21847,0.12309,1.61256,1.51588,1.1371,0.001802,0.001802,0.001802
7,609.097,1.44455,1.43314,1.19396,0.37462,0.26668,0.24468,0.13886,1.52416,1.43999,1.10333,0.0017624,0.0017624,0.0017624
8,689.675,1.45639,1.43296,1.18302,0.38158,0.24527,0.23558,0.13317,1.545,1.48696,1.09711,0.0017228,0.0017228,0.0017228
9,771.284,1.41806,1.39969,1.17613,0.40123,0.26888,0.25973,0.15015,1.46534,1.35851,1.05949,0.0016832,0.0016832,0.0016832
10,852.723,1.38048,1.35389,1.16226,0.39679,0.24799,0.23961,0.13802,1.49911,1.40116,1.09101,0.0016436,0.0016436,0.0016436
11,933.585,1.37991,1.32051,1.15564,0.38104,0.24424,0.23117,0.13557,1.47748,1.41544,1.07313,0.001604,0.001604,0.001604
12,1014.93,1.36526,1.32509,1.14823,0.37198,0.27675,0.25522,0.15007,1.46484,1.39583,1.06139,0.0015644,0.0015644,0.0015644
13,1095.89,1.33459,1.28916,1.13495,0.40997,0.26258,0.26138,0.15407,1.43006,1.29873,1.04779,0.0015248,0.0015248,0.0015248
14,1176.61,1.33031,1.28562,1.13153,0.41428,0.27702,0.26797,0.15653,1.40156,1.34179,1.03569,0.0014852,0.0014852,0.0014852
15,1257.63,1.32202,1.2768,1.13169,0.40443,0.28585,0.27507,0.16546,1.36988,1.26653,1.01302,0.0014456,0.0014456,0.0014456
16,1338.17,1.3035,1.24144,1.11758,0.42168,0.30258,0.29349,0.17214,1.36986,1.24799,1.01054,0.001406,0.001406,0.001406
17,1419.58,1.29691,1.23133,1.11768,0.44109,0.30263,0.30268,0.17559,1.37613,1.2258,1.01315,0.0013664,0.0013664,0.0013664
18,1500.38,1.3046,1.2265,1.1166,0.43933,0.2998,0.29914,0.17393,1.36917,1.23458,1.01774,0.0013268,0.0013268,0.0013268
19,1581.09,1.25782,1.20183,1.09805,0.44755,0.29846,0.30281,0.18161,1.32825,1.16143,0.99572,0.0012872,0.0012872,0.0012872
20,1661.66,1.27365,1.18969,1.09794,0.45051,0.28583,0.29487,0.17499,1.34725,1.19453,1.00183,0.0012476,0.0012476,0.0012476
21,1773.5,1.26587,1.18172,1.0958,0.44794,0.31882,0.32004,0.19016,1.31798,1.14363,0.98203,0.001208,0.001208,0.001208
22,1855.05,1.27148,1.1736,1.09459,0.44446,0.31122,0.31531,0.1883,1.31629,1.16835,0.9822,0.0011684,0.0011684,0.0011684
23,1935.91,1.23822,1.1563,1.08821,0.45994,0.3144,0.31975,0.19011,1.32714,1.15491,0.98471,0.0011288,0.0011288,0.0011288
24,2016.26,1.25024,1.15181,1.08896,0.46291,0.33024,0.33298,0.19925,1.28207,1.12,0.97522,0.0010892,0.0010892,0.0010892
25,2096.61,1.21458,1.13862,1.08186,0.4555,0.32453,0.3288,0.19443,1.2661,1.12551,0.96793,0.0010496,0.0010496,0.0010496
26,2176.78,1.21022,1.12624,1.08036,0.47028,0.33961,0.34457,0.20312,1.27257,1.09817,0.96639,0.00101,0.00101,0.00101
27,2257.9,1.24497,1.13915,1.08069,0.46442,0.34131,0.34243,0.20429,1.27453,1.12145,0.96902,0.0009704,0.0009704,0.0009704
28,2349.98,1.20539,1.11716,1.06935,0.47544,0.3422,0.34768,0.20926,1.24471,1.07952,0.9565,0.0009308,0.0009308,0.0009308
29,2440.52,1.19801,1.10074,1.07051,0.47996,0.33732,0.34588,0.20842,1.24859,1.08297,0.95462,0.0008912,0.0008912,0.0008912
30,2528.93,1.18059,1.08661,1.06333,0.47569,0.31076,0.32436,0.19881,1.26777,1.10821,0.96676,0.0008516,0.0008516,0.0008516
31,2624.26,1.18474,1.07416,1.0574,0.48859,0.33802,0.35009,0.2132,1.22318,1.05478,0.94022,0.000812,0.000812,0.000812
32,2721.41,1.17719,1.06221,1.05731,0.48002,0.33355,0.34824,0.21284,1.2142,1.05866,0.93978,0.0007724,0.0007724,0.0007724
33,2815.51,1.18679,1.05837,1.05232,0.50411,0.35965,0.37807,0.22643,1.20242,1.01182,0.93169,0.0007328,0.0007328,0.0007328
34,2905.11,1.15924,1.04999,1.05026,0.48283,0.34435,0.357,0.21632,1.21987,1.04568,0.94064,0.0006932,0.0006932,0.0006932
35,3002.91,1.14585,1.03372,1.04722,0.49009,0.34578,0.361,0.21995,1.21275,1.03138,0.93821,0.0006536,0.0006536,0.0006536
36,3091.47,1.13257,1.01917,1.03679,0.49083,0.34885,0.36486,0.22259,1.1854,1.01682,0.92653,0.000614,0.000614,0.000614
37,3184.84,1.14918,1.02672,1.04207,0.50984,0.3597,0.37933,0.22978,1.19406,0.98211,0.92348,0.0005744,0.0005744,0.0005744
38,3273.98,1.14698,1.0122,1.03824,0.5203,0.35754,0.38378,0.23493,1.17216,0.97603,0.92362,0.0005348,0.0005348,0.0005348
39,3360.26,1.11869,0.98734,1.02885,0.52503,0.35816,0.38575,0.23538,1.16814,0.96764,0.92012,0.0004952,0.0004952,0.0004952
40,3449.79,1.12682,1.00845,1.03044,0.51772,0.37284,0.39344,0.24086,1.15483,0.9641,0.91089,0.0004556,0.0004556,0.0004556
41,3548.2,1.17929,1.02881,1.01889,0.51598,0.35639,0.37821,0.22943,1.18867,0.97541,0.92506,0.000416,0.000416,0.000416
42,3633.5,1.16613,1.01267,1.0167,0.51668,0.36394,0.38465,0.2357,1.16785,0.9738,0.91745,0.0003764,0.0003764,0.0003764
43,3722.09,1.14565,0.98087,1.00072,0.52081,0.36848,0.39106,0.24129,1.1507,0.94283,0.90922,0.0003368,0.0003368,0.0003368
44,3807.45,1.11699,0.96161,0.9944,0.52485,0.37694,0.39975,0.24344,1.15412,0.93959,0.9082,0.0002972,0.0002972,0.0002972
45,3894.42,1.12478,0.95435,1.00062,0.52851,0.38192,0.40663,0.24939,1.13247,0.91921,0.90214,0.0002576,0.0002576,0.0002576
46,3987.09,1.11211,0.93713,0.99186,0.53421,0.38473,0.41182,0.25418,1.12616,0.90257,0.89898,0.000218,0.000218,0.000218
47,4084,1.09209,0.93021,0.99108,0.53294,0.3893,0.41397,0.25535,1.11421,0.90029,0.89372,0.0001784,0.0001784,0.0001784
48,4169.61,1.07814,0.90558,0.97587,0.53956,0.37747,0.40876,0.25381,1.1144,0.89569,0.89214,0.0001388,0.0001388,0.0001388
49,4262.76,1.08115,0.9053,0.97585,0.53498,0.39266,0.41824,0.25807,1.10657,0.88456,0.88896,9.92e-05,9.92e-05,9.92e-05
50,4348.69,1.07295,0.89845,0.98016,0.5391,0.38822,0.41636,0.25828,1.1021,0.88022,0.88903,5.96e-05,5.96e-05,5.96e-05
